,companyName,symbol,dividend_Ex_Date,payment_Date,dividend_Rate,indicated_Annual_Dividend,curr_price,return,recommendation,etf
308,SPDR Bloomberg 1-3 Month T-Bill ETF,BIL,11/01/2024,11/06/2024,0.358528,4.766,0.0,0.358528,NA,ETF
290,"Regions Financial Corporation Depositary Shares, each Representing a 1/40th Interest in a  Share of 5.700% Fixed-to-Floating Rate Non-Cumulative  Perpetual Preferred Stock, Series C",RF^C,11/01/2024,11/15/2024,0.35625,1.425,0.0,0.35625,NA,
381,Vanguard Emerging Markets Government Bond ETF,VWOB,11/01/2024,11/05/2024,0.352,4.224,0.0,0.352,NA,ETF
480,"Synchrony Financial Depositary Shares, each Representing a 1/40th Interest in a Share of 5.625% Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series A",SYF^A,11/04/2024,11/15/2024,0.351563,1.4063,0.0,0.351563,NA,
288,"Prudential Financial, Inc. 5.625% Junior Subordinated Notes due 2058",PRS,11/01/2024,11/15/2024,0.3515625,1.4062,0.0,0.3515625,NA,
1659,CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078,CMSA,11/29/2024,12/16/2024,0.3515625,1.4062,0.0,0.3515625,NA,
616,YieldMax JPM Option Income Strategy ETF,JPMO,11/07/2024,11/08/2024,0.3501,4.6041,0.0,0.3501,NA,ETF
1503,"United States Lime & Minerals, Inc. Common Stock",USLM,11/22/2024,12/13/2024,0.05,0.2,143.11,0.3493815945775976,none,
51,BondBloxx CCC-Rated USD High Yield Corporate Bond ETF,XCCC,11/01/2024,11/06/2024,0.346,4.176,0.0,0.346,NA,ETF
255,PGIM Floating Rate Income ETF,PFRL,11/01/2024,11/07/2024,0.3444,4.896,0.0,0.3444,NA,ETF
230,National Rural Utilities Cooperative Finance Corporation 5.500% Subordinated Notes due 2064 (Subordinated Deferrable Interest Notes),NRUC,11/01/2024,11/15/2024,0.34375,1.375,0.0,0.34375,NA,
491,Cadence Bank 5.50% Series A ,CADE^A,11/05/2024,11/20/2024,0.34375,1.375,0.0,0.34375,NA,
1670,United States Cellular Corporation 5.500% Senior Notes due 2070,UZF,11/29/2024,12/02/2024,0.34375,1.375,0.0,0.34375,NA,
1669,United States Cellular Corporation 5.500% Senior Notes due 2070,UZE,11/29/2024,12/02/2024,0.34375,1.375,0.0,0.34375,NA,
440,Goldman Sachs S&P 500 Core Premium Income ETF,GPIX,11/04/2024,11/08/2024,0.34272,4.11264,0.0,0.34272,NA,ETF
232,Neuberger Berman Flexible Credit Income ETF,NBFC,11/01/2024,11/06/2024,0.342,3.6656,0.0,0.342,NA,ETF
386,Vanguard Long-Term Corporate Bond ETF,VCLT,11/01/2024,11/05/2024,0.3375,4.05,0.0,0.3375,NA,ETF
81,Defiance S&P 500 Target Income ETF,SPYT,11/01/2024,11/04/2024,0.3324,3.9912,0.0,0.3324,NA,ETF
556,Defiance R2000 Enhanced Options & 0DTE Income ETF,IWMY,11/07/2024,11/08/2024,0.3292,16.9303,0.0,0.3292,NA,ETF
162,iShares Government/Credit Bond ETF,GBF,11/01/2024,11/06/2024,0.329199,4.0333,0.0,0.329199,NA,ETF
143,iShares BBB Rated Corporate Bond ETF,LQDB,11/01/2024,11/06/2024,0.329137,3.7272,0.0,0.329137,NA,ETF
127,iShares  Agency Bond ETF,AGZ,11/01/2024,11/06/2024,0.328532,3.6836,0.0,0.328532,NA,ETF
1658,"Southern Company (The) Series 2017B 5.25% Junior Subordinated Notes due December 1, 2077",SOJC,11/29/2024,12/02/2024,0.328125,1.3125,0.0,0.328125,NA,
1207,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,DTW,11/15/2024,12/02/2024,0.328125,1.3125,0.0,0.328125,NA,
713,"Truist Financial Corporation Depositary Shares, Each Representing a 1/1,000th Interest in a Share of Series O Non-Cumulative Perpetual Preferred Stock",TFC^O,11/08/2024,12/02/2024,0.328125,1.3125,0.0,0.328125,NA,
62,British Pound Sterling Trust,FXB,11/01/2024,11/07/2024,0.3215,3.9346,0.0,0.3215,NA,
79,Defiance Nasdaq 100 Income Target ETF,QQQT,11/01/2024,11/04/2024,0.3213,3.8556,0.0,0.3213,NA,ETF
1665,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",AFGC,11/29/2024,12/16/2024,0.3203125,1.2812,0.0,0.3203125,NA,
137,iShares 3-7 Year Treasury Bond ETF,IEI,11/01/2024,11/06/2024,0.320255,3.84306,0.0,0.320255,NA,ETF
1663,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,AEFC,11/29/2024,12/16/2024,0.31875,1.275,0.0,0.31875,NA,
103,FlexShares Ultra-Short Income Fund,RAVI,11/01/2024,11/07/2024,0.3182,3.9903,0.0,0.3182,NA,
383,Vanguard Intermediate-Term Corporate Bond ETF,VCIT,11/01/2024,11/05/2024,0.3166,3.7992,0.0,0.3166,NA,ETF
1649,"Entergy New Orleans, LLC First Mortgage Bonds, 5.0% Series due December 1, 2052",ENJ,11/29/2024,12/02/2024,0.3125,1.25,0.0,0.3125,NA,
136,iShares 20+ Year Treasury Bond ETF,TLT,11/01/2024,11/06/2024,0.310541,3.726492,0.0,0.310541,NA,ETF
151,iShares Core U.S. Aggregate Bond ETF,AGG,11/01/2024,11/06/2024,0.310262,3.4893,0.0,0.310262,NA,ETF
192,iShares MBS ETF,MBB,11/01/2024,11/06/2024,0.309924,3.719088,0.0,0.309924,NA,ETF
211,Janus Henderson Emerging Markets Debt Hard Currency ETF,JEMB,11/01/2024,11/07/2024,0.3068,3.6445,0.0,0.3068,NA,ETF
1656,"Entergy Louisiana, Inc. Collateral Trust Mortgage Bonds, 4.875 % Series due September 1, 2066",ELC,11/29/2024,12/02/2024,0.3046875,1.2188,0.0,0.3046875,NA,
1655,"Entergy Arkansas, LLC First Mortgage Bonds, 4.875% Series Due September 1, 2066",EAI,11/29/2024,12/02/2024,0.3046875,1.2188,0.0,0.3046875,NA,
163,iShares High Yield Active ETF,BRHY,11/01/2024,11/06/2024,0.301086,3.613032,0.0,0.301086,NA,ETF
443,Harbor Scientific Alpha High-Yield ETF,SIHY,11/04/2024,11/07/2024,0.301,3.4142,0.0,0.301,NA,ETF
394,Vanguard Total Corporate Bond ETF,VTC,11/01/2024,11/05/2024,0.3001,3.6012,0.0,0.3001,NA,ETF
293,"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc. 4.75% Series B Cumulative Preferred Stock",OPP^B,11/01/2024,11/15/2024,0.29688,1.1875,0.0,0.29688,NA,
712,"Truist Financial Corporation Depositary Shares, each representing 1/1,000th interest in a share of Series R Non-Cumulative Perpetual Preferred Stock",TFC^R,11/08/2024,12/02/2024,0.296875,1.1875,0.0,0.296875,NA,
208,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of JPMorgan Chase & Co. 4.75% Non-Cumulative Preferred Stock, Series GG",JPM^J,11/01/2024,12/02/2024,0.296875,1.1875,0.0,0.296875,NA,
30,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.750% Non-Cumulative Preferred Stock, Series SS",BAC^S,11/01/2024,11/18/2024,0.296875,1.1875,0.0,0.296875,NA,
306,SPDR Blackstone Senior Loan ETF,SRLN,11/01/2024,11/06/2024,0.295656,3.7372,0.0,0.295656,NA,ETF
35,BNY Mellon High Yield ETF,BKHY,11/01/2024,11/06/2024,0.2948,3.566,0.0,0.2948,NA,ETF
139,iShares 7-10 Year Treasury Bond ETF,IEF,11/01/2024,11/06/2024,0.291583,3.498996,0.0,0.291583,NA,ETF
206,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.625% Non-Cumulative Preferred Stock, Series LL",JPM^L,11/01/2024,12/02/2024,0.289075,1.1563,0.0,0.289075,NA,
356,The Carlyle Group Inc. 4.625% Subordinated Notes due 2061,CGABL,11/01/2024,11/15/2024,0.2890625,1.15625,0.0,0.2890625,NA,
379,Vanguard Core Bond ETF,VCRB,11/01/2024,11/05/2024,0.2875,3.45,0.0,0.2875,NA,ETF
557,Defiance S&P 500 Enhanced Options & 0DTE Income ETF,WDTE,11/07/2024,11/08/2024,0.2874,10.69,0.0,0.2874,NA,ETF
380,Vanguard Core Plus Bond ETF,VPLS,11/01/2024,11/05/2024,0.2866,3.4392,0.0,0.2866,NA,ETF
566,Global X Adaptive U.S. Factor ETF,AUSF,11/07/2024,11/15/2024,0.285,0.86,0.0,0.285,NA,ETF
205,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.55% Non-Cumulative Preferred Stock, Series JJ",JPM^K,11/01/2024,12/02/2024,0.284375,1.1375,0.0,0.284375,NA,
154,iShares ESG Advanced Investment Grade Corporate Bond ETF,ELQD,11/01/2024,11/06/2024,0.284214,3.3464,0.0,0.284214,NA,ETF
132,iShares 1-3 Year Treasury Bond ETF,SHY,11/01/2024,11/06/2024,0.283144,3.397728,0.0,0.283144,NA,ETF
1435,Moog Inc. Class A Common Stock,MOG.A,11/21/2024,12/06/2024,0.28,1.12,0.0,0.28,NA,
1432,Moog Inc. Class B Common Stock,MOG.B,11/21/2024,12/06/2024,0.28,1.12,0.0,0.28,NA,
543,TappAlpha SPY Growth & Daily Income ETF,TSPY,11/06/2024,11/07/2024,0.2765522,3.318626,0.0,0.2765522,NA,ETF
390,Vanguard Short-Term Corporate Bond ETF,VCSH,11/01/2024,11/05/2024,0.2741,3.2892,0.0,0.2741,NA,ETF
292,"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc. 4.375% Series A Cumulative Preferred Stock",OPP^A,11/01/2024,11/15/2024,0.27344,1.0938,0.0,0.27344,NA,
1230,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,DTG,11/15/2024,12/02/2024,0.2734375,1.0938,0.0,0.2734375,NA,
410,Xtrackers High Beta High Yield Bond ETF,HYUP,11/01/2024,11/08/2024,0.272,3.187,0.0,0.272,NA,ETF
385,Vanguard Long-Term Bond ETF,BLV,11/01/2024,11/05/2024,0.27139,3.1812,0.0,0.27139,NA,ETF
414,Xtrackers Short Duration High Yield Bond ETF,SHYL,11/01/2024,11/08/2024,0.2696,3.2094,0.0,0.2696,NA,ETF
18,American Century Multisector Floating Income ETF,FUSI,11/01/2024,11/05/2024,0.269,3.1392,0.0,0.269,NA,ETF
141,iShares AAA CLO Active ETF,CLOA,11/01/2024,11/06/2024,0.268211,3.218532,0.0,0.268211,NA,ETF
193,iShares National Muni Bond ETF,MUB,11/01/2024,11/06/2024,0.268036,3.1332,0.0,0.268036,NA,ETF
555,Defiance Nasdaq 100 Enhanced Options & 0DTE Income ETF,QQQY,11/07/2024,11/08/2024,0.2661,0.0,0.0,0.2661,NA,ETF
29,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.250% Non-Cumulative Preferred Stock, Series QQ",BAC^Q,11/01/2024,11/18/2024,0.265625,1.0625,0.0,0.265625,NA,
370,VanEck CLO ETF,CLOI,11/01/2024,11/06/2024,0.2643,3.3225,0.0,0.2643,NA,ETF
204,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.20% Non-Cumulative Preferred Stock, Series MM",JPM^M,11/01/2024,12/02/2024,0.2625,1.05,0.0,0.2625,NA,
282,ProShares Bitcoin & Ether Market Cap Weight ETF,BETH,11/01/2024,11/08/2024,0.262097,21.3164,0.0,0.262097,NA,ETF
41,BondBloxx BBB Rated 10+ Year Corporate Bond ETF,BBBL,11/01/2024,11/06/2024,0.2601,2.7658,0.0,0.2601,NA,ETF
270,PIMCO Mortgage-Backed Securities Active Exchange-Traded Fund,PMBS,11/01/2024,11/05/2024,0.26,3.12,0.0,0.26,NA,
100,FlexShares High Yield Value-Scored Bond Index Fund,HYGV,11/01/2024,11/07/2024,0.2581,3.4712,0.0,0.2581,NA,
1221,"Prudential Financial, Inc. 4.125% Junior Subordinated Notes due 2060",PFH,11/15/2024,12/02/2024,0.2578125,1.0312,0.0,0.2578125,NA,
113,Goldman Sachs Access High Yield Corporate Bond ETF,GHYB,11/01/2024,11/07/2024,0.25675,2.874,0.0,0.25675,NA,ETF
129,iShares 0-5 Year High Yield Corporate Bond ETF,SHYG,11/01/2024,11/06/2024,0.25498,2.8747,0.0,0.25498,NA,ETF
209,Janus Henderson AAA CLO ETF,JAAA,11/01/2024,11/07/2024,0.2533,3.2658,0.0,0.2533,NA,ETF
397,Vanguard Wellington Fund Vanguard Short-Term Tax Exempt Bond ETF,VTES,11/01/2024,11/05/2024,0.2501,3.0007,0.0,0.2501,NA,ETF
273,PIMCO Preferred and Capital Securities Active Exchange-Traded Fund,PRFD,11/01/2024,11/05/2024,0.25,2.8015,0.0,0.25,NA,
152,iShares Enhanced Short-Term Bond Active ETF,CSHP,11/01/2024,11/06/2024,0.247234,5.9497,0.0,0.247234,NA,ETF
382,Vanguard Intermediate-Term Bond ETF,BIV,11/01/2024,11/05/2024,0.246563,2.7749,0.0,0.246563,NA,ETF
142,iShares BB Rated Corporate Bond ETF,HYBB,11/01/2024,11/06/2024,0.245464,2.8267,0.0,0.245464,NA,ETF
841,Eagle Point Institutional Income Fund Pfd Ser A Term %,EGLP V,11/12/2024,11/29/2024,0.242622,2.0312,0.0,0.242622,NA,
830,Eagle Point Institutional Income Fund 8.125% Series A Term Preferred Shares Due 2029,EIIA,11/12/2024,11/29/2024,0.242622,2.9115,0.0,0.242622,NA,
153,iShares ESG Advanced High Yield Corporate Bond ETF,HYXF,11/01/2024,11/06/2024,0.242614,2.911368,0.0,0.242614,NA,ETF
38,BondBloxx B-Rated USD High Yield Corporate Bond ETF,XB,11/01/2024,11/06/2024,0.2422,3.0824,0.0,0.2422,NA,ETF
160,iShares Flexible Income Active ETF,BINC,11/01/2024,11/06/2024,0.239702,2.9023,0.0,0.239702,NA,ETF
234,Neuberger Berman Short Duration Income ETF,NBSD,11/01/2024,11/06/2024,0.2397,3.244,0.0,0.2397,NA,ETF
20,American Century Select High Yield ETF,AHYB,11/01/2024,11/05/2024,0.2384,2.6001,0.0,0.2384,NA,ETF
92,F/m Opportunistic Income ETF,XFIX,11/01/2024,11/04/2024,0.237142,2.845704,0.0,0.237142,NA,ETF
389,Vanguard Short-Term Bond ETF,BSV,11/01/2024,11/05/2024,0.23407,2.5222,0.0,0.23407,NA,ETF
60,"BondBloxx USD High Yield Bond Telecom, Media & Technology Sector ETF",XHYT,11/01/2024,11/06/2024,0.2338,2.8409,0.0,0.2338,NA,ETF
21,American Century Short Duration Strategic Income ETF,SDSI,11/01/2024,11/05/2024,0.2329,2.7948,0.0,0.2329,NA,ETF
19,American Century Multisector Income ETF,MUSI,11/01/2024,11/05/2024,0.2302,2.5248,0.0,0.2302,NA,ETF
1705,Southern Bancshares Inc. PFS PERPETUAL USD - Class C 0%,SBNCN,11/29/2024,12/13/2024,0.23,0.92,0.0,0.23,NA,
219,JPMorgan Income ETF,JPIE,11/01/2024,11/05/2024,0.2299,2.8234,0.0,0.2299,NA,ETF
368,VanEck AA-BB CLO ETF,CLOB,11/01/2024,11/06/2024,0.2296,0.0,0.0,0.2296,NA,ETF
393,Vanguard Total Bond Market ETF,BND,11/01/2024,11/05/2024,0.227631,2.731572,0.0,0.227631,NA,ETF
254,PGIM Active High Yield Bond ETF,PHYL,11/01/2024,11/07/2024,0.2258,2.8583,0.0,0.2258,NA,ETF
472,Panagram BBB-B CLO ETF,CLOZ,11/04/2024,11/08/2024,0.22545975,2.3513,0.0,0.22545975,NA,ETF
741,ETRACS Monthly Pay 1.5X Leveraged Closed-End Fund Index ETN,CEFD,11/12/2024,11/20/2024,0.2232,2.6691,0.0,0.2232,NA,
84,DoubleLine Commercial Real Estate ETF,DCRE,11/01/2024,11/07/2024,0.2216,2.6919,0.0,0.2216,NA,ETF
134,iShares 10  Year Investment Grade Corporate Bond ETF,IGLB,11/01/2024,11/06/2024,0.220403,2.4996,0.0,0.220403,NA,ETF
40,BondBloxx BBB Rated 1-5 Year Corporate Bond ETF,BBBS,11/01/2024,11/06/2024,0.2203,2.2092,0.0,0.2203,NA,ETF
1245,Pearl Diver Credit Company Inc. Common Stock,PDCC,11/15/2024,11/29/2024,0.22,2.64,0.0,0.22,NA,
56,BondBloxx USD High Yield Bond Financial & REIT Sector ETF,XHYF,11/01/2024,11/06/2024,0.2197,2.7004,0.0,0.2197,NA,ETF
118,Goldman Sachs Access U.S. Preferred Stock and Hybrid Securities ETF,GPRF,11/01/2024,11/07/2024,0.21962,2.63544,0.0,0.21962,NA,ETF
444,Harbor Scientific Alpha Income ETF,SIFI,11/04/2024,11/07/2024,0.2181,2.5004,0.0,0.2181,NA,ETF
42,BondBloxx BBB Rated 5-10 Year Corporate Bond ETF,BBBI,11/01/2024,11/06/2024,0.216,2.4354,0.0,0.216,NA,ETF
55,BondBloxx USD High Yield Bond Energy Sector ETF,XHYE,11/01/2024,11/06/2024,0.2153,2.7613,0.0,0.2153,NA,ETF
540,Putnam ESG Ultra Short ETF,PULT,11/06/2024,11/08/2024,0.2152,2.7562,0.0,0.2152,NA,ETF
39,BondBloxx BB-Rated USD High Yield Corporate Bond ETF,XBB,11/01/2024,11/06/2024,0.215,2.5472,0.0,0.215,NA,ETF
258,PGIM Ultra Short Bond ETF,PULS,11/01/2024,11/07/2024,0.2146,2.8385,0.0,0.2146,NA,ETF
391,Vanguard Short-Term Treasury ETF,VGSH,11/01/2024,11/05/2024,0.2145,2.574,0.0,0.2145,NA,ETF
387,Vanguard Long-Term Treasury ETF,VGLT,11/01/2024,11/05/2024,0.2123,2.5476,0.0,0.2123,NA,ETF
435,Energy Transfer L.P. Series I Fixed Rate Perpetual Preferred Units,ET^I,11/04/2024,11/14/2024,0.2111,0.8444,0.0,0.2111,NA,
85,DoubleLine Mortgage ETF,DMBS,11/01/2024,11/07/2024,0.2108,2.2407,0.0,0.2108,NA,ETF
597,VictoryShares Short-Term Bond ETF,USTB,11/07/2024,11/08/2024,0.210324,2.523888,0.0,0.210324,NA,ETF
89,F/m 10-Year Investment Grade Corporate Bond ETF,ZTEN,11/01/2024,11/04/2024,0.21027902,2.6892,0.0,0.21027902,NA,ETF
44,BondBloxx Bloomberg One Year Target Duration US Treasury ETF,XONE,11/01/2024,11/06/2024,0.2087,2.645,0.0,0.2087,NA,ETF
37,BNY Mellon Ultra Short Income ETF,BKUI,11/01/2024,11/06/2024,0.208,2.4411,0.0,0.208,NA,ETF
617,YieldMax Magnificent 7 Fund of Option Income ETFs,YMAG,11/07/2024,11/08/2024,0.2065,7.152,0.0,0.2065,NA,ETF
2,AB High Yield ETF,HYFI,11/01/2024,11/06/2024,0.2061,2.443,0.0,0.2061,NA,ETF
58,BondBloxx USD High Yield Bond Industrial Sector ETF,XHYI,11/01/2024,11/06/2024,0.2059,2.6509,0.0,0.2059,NA,ETF
223,JPMorgan Ultra-Short Income ETF,JPST,11/01/2024,11/05/2024,0.2055,2.6599,0.0,0.2055,NA,ETF
53,BondBloxx USD High Yield Bond Consumer Cyclicals Sector ETF,XHYC,11/01/2024,11/06/2024,0.2049,2.5495,0.0,0.2049,NA,ETF
252,PGIM AAA CLO ETF,PAAA,11/01/2024,11/07/2024,0.2048,3.198,0.0,0.2048,NA,ETF
46,BondBloxx Bloomberg Six Month Target Duration US Treasury ETF,XHLF,11/01/2024,11/06/2024,0.2047,2.5518,0.0,0.2047,NA,ETF
200,iShares Total Return Active ETF,BRTR,11/01/2024,11/06/2024,0.204651,2.455812,0.0,0.204651,NA,ETF
214,Janus Henderson Short Duration Income ETF,VNLA,11/01/2024,11/07/2024,0.204,2.3098,0.0,0.204,NA,ETF
57,BondBloxx USD High Yield Bond Healthcare Sector ETF,XHYH,11/01/2024,11/06/2024,0.2037,2.4641,0.0,0.2037,NA,ETF
148,iShares Core 10  Year USD Bond ETF,ILTB,11/01/2024,11/06/2024,0.202119,2.3784,0.0,0.202119,NA,ETF
8,AB Ultra Short Income ETF,YEAR,11/01/2024,11/06/2024,0.2017,2.621,0.0,0.2017,NA,ETF
16,American Century Diversified Corporate Bond ETF,KORP,11/01/2024,11/05/2024,0.2012,2.3038,0.0,0.2012,NA,ETF
224,JPMorgan USD Emerging Markets Sovereign Bond ETF,JPMB,11/01/2024,11/05/2024,0.2007,2.3797,0.0,0.2007,NA,ETF
97,FlexShares Credit-Scored US Corporate Bond Index Fund,SKOR,11/01/2024,11/07/2024,0.200484,2.405808,0.0,0.200484,NA,
354,TCW Flexible Income ETF,FLXR,11/01/2024,11/04/2024,0.2,2.4756,0.0,0.2,NA,ETF
945,Xtrackers (IE) Public Limited Company Xtrackers USD High YieldCorporate Bond UCITS ETF,XTTXF,11/14/2024,11/29/2024,0.1981,0.1981,0.0,0.1981,NA,ETF
201,iShares Treasury Floating Rate Bond ETF,TFLO,11/01/2024,11/06/2024,0.196523,2.717,0.0,0.196523,NA,ETF
938,Ingersoll Rand Inc. Common Stock,IR,11/14/2024,12/05/2024,0.02,0.08,102.61,0.19491277653250172,buy,
54,BondBloxx USD High Yield Bond Consumer Non-Cyclicals Sector ETF,XHYD,11/01/2024,11/06/2024,0.1941,2.3925,0.0,0.1941,NA,ETF
138,iShares 5-10 Year Investment Grade Corporate Bond ETF,IGIB,11/01/2024,11/06/2024,0.193862,2.326344,0.0,0.193862,NA,ETF
415,Xtrackers USD High Yield Corporate Bond ETF,HYLB,11/01/2024,11/08/2024,0.1922,2.1939,0.0,0.1922,NA,ETF
506,Global X SuperDividend ETF,SDIV,11/05/2024,11/13/2024,0.192,2.364,0.0,0.192,NA,ETF
212,Janus Henderson Mortgage-Backed Securities ETF,JMBS,11/01/2024,11/07/2024,0.1919,2.28,0.0,0.1919,NA,ETF
144,iShares Broad USD Investment Grade Corporate Bond ETF,USIG,11/01/2024,11/06/2024,0.191333,2.295996,0.0,0.191333,NA,ETF
66,Calamos CEF Income & Arbitrage ETF,CCEF,11/01/2024,11/07/2024,0.191,2.101,0.0,0.191,NA,ETF
198,iShares Short-Term National Muni Bond ETF,SUB,11/01/2024,11/06/2024,0.190887,2.1148,0.0,0.190887,NA,ETF
86,DoubleLine Opportunistic Bond ETF,DBND,11/01/2024,11/07/2024,0.1904,2.3247,0.0,0.1904,NA,ETF
216,JPMorgan BetaBuilders USD Investment Grade Corporate Bond ETF,BBCB,11/01/2024,11/05/2024,0.1904,2.2327,0.0,0.1904,NA,ETF
90,F/m 2-Year Investment Grade Corporate Bond ETF,ZTWO,11/01/2024,11/04/2024,0.18940945,2.5736,0.0,0.18940945,NA,ETF
218,JPMorgan High Yield Municipal ETF,JMHI,11/01/2024,11/05/2024,0.1888,2.4169,0.0,0.1888,NA,ETF
411,Xtrackers Low Beta High Yield Bond ETF,HYDW,11/01/2024,11/08/2024,0.1887,2.6087,0.0,0.1887,NA,ETF
91,F/m 3-Year Investment Grade Corporate Bond ETF,ZTRE,11/01/2024,11/04/2024,0.18778427,2.5263,0.0,0.18778427,NA,ETF
362,US Treasury 3 Month Bill ETF,TBIL,11/01/2024,11/04/2024,0.1874148,2.248978,0.0,0.1874148,NA,ETF
384,Vanguard Intermediate-Term Treasury ETF,VGIT,11/01/2024,11/05/2024,0.1855,2.226,0.0,0.1855,NA,ETF
36,BNY Mellon Responsible Horizons Corporate Bond ETF,RHCB,11/01/2024,11/06/2024,0.185,2.1164,0.0,0.185,NA,ETF
221,JPMorgan Short Duration Core Plus ETF,JSCP,11/01/2024,11/05/2024,0.1842,2.1519,0.0,0.1842,NA,ETF
50,BondBloxx Bloomberg Two Year Target Duration US Treasury ETF,XTWO,11/01/2024,11/06/2024,0.1842,2.2605,0.0,0.1842,NA,ETF
114,Goldman Sachs Access Investment Grade Corporate 1-5 Year Bond ETF,GSIG,11/01/2024,11/07/2024,0.184,2.0704,0.0,0.184,NA,ETF
133,iShares 1-5 Year Investment Grade Corporate Bond ETF,IGSB,11/01/2024,11/06/2024,0.18364,2.20368,0.0,0.18364,NA,ETF
1337,Carlyle Credit Income Fund 8.75% Series A Preferred Shares due 2028,CCIA,11/18/2024,11/29/2024,0.1823,2.1876,0.0,0.1823,NA,
45,BondBloxx Bloomberg Seven Year Target Duration US Treasury ETF,XSVN,11/01/2024,11/06/2024,0.1818,1.8312,0.0,0.1818,NA,ETF
321,SPDR ICE Preferred Securities ETF,PSK,11/01/2024,11/06/2024,0.18,2.16,0.0,0.18,NA,ETF
256,PGIM Municipal Income Opportunities ETF,PMIO,11/01/2024,11/07/2024,0.1791,1.9176,0.0,0.1791,NA,ETF
210,Janus Henderson Corporate Bond ETF,JLQD,11/01/2024,11/07/2024,0.1771,2.0082,0.0,0.1771,NA,ETF
442,Harbor Disciplined Bond ETF,AGGS,11/04/2024,11/07/2024,0.17701,1.7777,0.0,0.17701,NA,ETF
115,Goldman Sachs Access Investment Grade Corporate Bond ETF,GIGB,11/01/2024,11/07/2024,0.17673,1.9339,0.0,0.17673,NA,ETF
396,Vanguard Total World Bond ETF,BNDW,11/01/2024,11/05/2024,0.1767,2.1204,0.0,0.1767,NA,ETF
366,US Treasury 6 Month Bill ETF,XBIL,11/01/2024,11/04/2024,0.1762959,2.115551,0.0,0.1762959,NA,ETF
257,PGIM Total Return Bond ETF,PTRB,11/01/2024,11/07/2024,0.1755,2.0461,0.0,0.1755,NA,ETF
233,Neuberger Berman Option Strategy ETF,NBOS,11/01/2024,11/06/2024,0.1731,2.2188,0.0,0.1731,NA,ETF
320,SPDR FTSE International Government Inflation-Protected Bond ETF,WIP,11/01/2024,11/06/2024,0.172414,2.3724,0.0,0.172414,NA,ETF
319,SPDR DoubleLine Total Return Tactical ETF,TOTL,11/01/2024,11/06/2024,0.169994,2.0505,0.0,0.169994,NA,ETF
25,Avantis Core Fixed Income ETF,AVIG,11/01/2024,11/05/2024,0.1697,1.8539,0.0,0.1697,NA,ETF
353,SPDR SSGA Ultra Short Term Bond ETF,ULST,11/01/2024,11/06/2024,0.167697,2.0423,0.0,0.167697,NA,ETF
49,BondBloxx Bloomberg Twenty Year Target Duration US Treasury ETF,XTWY,11/01/2024,11/06/2024,0.1675,1.7887,0.0,0.1675,NA,ETF
296,Schwab High Yield Bond ETF,SCYB,11/01/2024,11/07/2024,0.1667,1.9229,0.0,0.1667,NA,ETF
195,iShares Preferred and Income Securities ETF,PFF,11/01/2024,11/06/2024,0.165327,1.983924,0.0,0.165327,NA,ETF
47,BondBloxx Bloomberg Ten Year Target Duration US Treasury ETF,XTEN,11/01/2024,11/06/2024,0.1648,1.8514,0.0,0.1648,NA,ETF
99,FlexShares ESG & Climate Investment Grade Corporate Core Index Fund,FEIG,11/01/2024,11/07/2024,0.1639,1.8976,0.0,0.1639,NA,
202,iShares USD Green Bond ETF,BGRN,11/01/2024,11/06/2024,0.163309,1.959708,0.0,0.163309,NA,ETF
215,JPMorgan BetaBuilders U.S. Aggregate Bond ETF,BBAG,11/01/2024,11/05/2024,0.1618,1.9024,0.0,0.1618,NA,ETF
27,Avantis Short-Term Fixed Income ETF,AVSF,11/01/2024,11/05/2024,0.1616,1.9863,0.0,0.1616,NA,ETF
43,BondBloxx Bloomberg Five Year Target Duration US Treasury ETF,XFIV,11/01/2024,11/06/2024,0.1615,1.8767,0.0,0.1615,NA,ETF
247,NYLI MacKay ESG High Income ETF,IQHI,11/01/2024,11/06/2024,0.161,1.9647,0.0,0.161,NA,ETF
359,US Treasury 12 Month Bill ETF,OBIL,11/01/2024,11/04/2024,0.1606886,1.928263,0.0,0.1606886,NA,ETF
271,PIMCO Multisector Bond Active Exchange-Traded Fund,PYLD,11/01/2024,11/05/2024,0.16,1.5563,0.0,0.16,NA,
88,Euro Currency Trust,FXE,11/01/2024,11/07/2024,0.1595,2.2597,0.0,0.1595,NA,
130,iShares 0-5 Year Investment Grade Corporate Bond ETF,SLQD,11/01/2024,11/06/2024,0.159465,1.91358,0.0,0.159465,NA,ETF
