,companyName,symbol,dividend_Ex_Date,payment_Date,dividend_Rate,indicated_Annual_Dividend
798,Navios Maritime Partners LP Common Units Representing Limited Partner Interests,NMM,11/12/2024,11/15/2024,0.05,0.2
799,Teekay Tankers Ltd.,TNK,11/12/2024,11/22/2024,0.25,1.0
800,Visa Inc.,V,11/12/2024,12/02/2024,0.59,2.36
801,"American Water Works Company, Inc. Common Stock",AWK,11/12/2024,12/03/2024,0.765,3.06
802,Virtus Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest,EDF,11/12/2024,11/27/2024,0.06,0.72
803,"Cohen & Steers Select Preferred and Income Fund, Inc. Common Stock",PSF,11/12/2024,11/29/2024,0.126,1.512
804,Genie Energy Ltd. Class B Common Stock Stock,GNE,11/12/2024,11/20/2024,0.075,0.3
805,Virtus Global Multi-Sector Income Fund Common Shares of Beneficial Interest,VGI,11/12/2024,11/27/2024,0.08,0.96
806,PIMCO Dynamic Income Fund Common Stock,PDI,11/12/2024,12/02/2024,0.2205,2.646
807,"Cohen & Steers Limited Duration Preferred and Income Fund, Inc.",LDP,11/12/2024,11/29/2024,0.131,1.572
808,"OneMain Holdings, Inc. Common Stock",OMF,11/12/2024,11/18/2024,1.04,4.16
809,Westlake Chemical Partners LP Common Units representing limited partner interests,WLKP,11/12/2024,11/27/2024,0.4714,1.8856
810,Eagle Point Credit Company Inc. Common Stock,ECC,11/12/2024,11/29/2024,0.02,1.68
811,Eagle Point Credit Company Inc. Common Stock,ECC,11/12/2024,11/29/2024,0.14,1.68
812,Healthcare Realty Trust Incorporated Common Stock,HR,11/12/2024,11/27/2024,0.31,1.24
813,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,ACV,11/12/2024,11/27/2024,0.18,2.16
814,AdvanSix Inc. Common Stock ,ASIX,11/12/2024,11/26/2024,0.16,0.64
815,Brookfield Real Assets Income Fund Inc. Common Stock,RA,11/12/2024,11/27/2024,0.118,1.416
816,Arcelor Mittal NY Registry Shares NEW,MT,11/12/2024,12/04/2024,0.25,0.5
817,Eagle Point Income Company Inc. Common Stock,EIC,11/12/2024,11/29/2024,0.2,2.4
818,PIMCO Dynamic Income Strategy Fund Common Shares of Beneficial Interest,PDX,11/12/2024,12/02/2024,0.1133,1.3596
819,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,AIO,11/12/2024,11/27/2024,0.15,1.8
820,Cohen & Steers Tax-Advantaged Preferred Securities and Income Fund Common Shares of Beneficial Interest,PTA,11/12/2024,11/29/2024,0.134,1.608
821,PIMCO Dynamic Income Opportunities Fund Common Shares of Beneficial Interest,PDO,11/12/2024,12/02/2024,0.1279,1.5348
822,Organon & Co. Common Stock ,OGN,11/12/2024,12/12/2024,0.28,1.12
823,Eagle Point Credit Company Inc. 6.50% Series C Term Preferred Stock due 2031,ECCC,11/12/2024,11/29/2024,0.135417,1.625
824,"Ryan Specialty Holdings, Inc. Class A Common Stock",RYAN,11/12/2024,11/26/2024,0.11,0.44
825,Eagle Point Income Company Inc. 5.00% Series A Term Preferred Stock due 2026,EICA,11/12/2024,11/29/2024,0.104167,1.25
826,Eagle Point Credit Company Inc. 8.00% Series F Term Preferred Stock due 2029,ECCF,11/12/2024,11/29/2024,0.166667,2.0
827,PIMCO Access Income Fund Common Shares of Beneficial Interest,PAXS,11/12/2024,12/02/2024,0.1494,1.7928
828,Cohen & Steers Real Estate Opportunities and Income Fund Common Shares of Beneficial Interest,RLTY,11/12/2024,11/29/2024,0.11,1.32
829,Eagle Point Income Company Inc. 7.75% Series B Term Preferred Stock Due 2028,EICB,11/12/2024,11/29/2024,0.161459,1.9375
830,Eagle Point Institutional Income Fund 8.125% Series A Term Preferred Shares Due 2029,EIIA,11/12/2024,11/29/2024,0.242622,2.9115
831,Eagle Point Income Company Inc. 8.00% Series C Term Preferred Stock due 2029,EICC,11/12/2024,11/29/2024,0.166667,2.0
832,Keweenaw Financial Corp,KEFI,11/12/2024,12/02/2024,0.44,1.76
833,WVS Financial Corp.,WVFC,11/12/2024,11/22/2024,0.1,0.4
834,Aker BP,AKRBY,11/12/2024,11/27/2024,0.300374,1.2015
835,Aker BP,AKRBY,11/12/2024,11/27/2024,0.17528,1.2015
836,Macquarie Group Ltd ADR,MQBKY,11/12/2024,12/27/2024,1.71132,3.4226
837,National Cap Bancorp Inc,NACB,11/12/2024,11/26/2024,0.66,2.64
838,Singapore Exchange Limited ADR,SPXCY,11/12/2024,12/02/2024,1.019021,4.0761
839,Middlebury National Corporation,MDVT,11/12/2024,11/15/2024,0.25,1.0
840,ArcelorMittal,AMSYF,11/12/2024,12/04/2024,0.25,0.5
841,Eagle Point Institutional Income Fund Pfd Ser A Term %,EGLP V,11/12/2024,11/29/2024,0.242622,2.0312
842,Naturgy Energy Group S.A. ADR,GASNY,11/12/2024,11/21/2024,0.10816,0.3123
843,Naturgy Energy Group S.A. ADR,GASNY,11/12/2024,11/21/2024,0.065977,0.3123
844,Aperam SA New York Shares,APEMY,11/12/2024,12/06/2024,0.462697,1.8508
845,"CaixaBank, S.A ADR",CAIXY,11/12/2024,11/22/2024,0.032849,0.0328
846,"CaixaBank, S.A ADR",CAIXY,11/12/2024,11/22/2024,0.05385,0.0328
847,Seplat Energy,SEPLF,11/12/2024,11/27/2024,0.036,0.144
848,ArcBest Corporation Common Stock,ARCB,11/13/2024,11/27/2024,0.12,0.48
849,"Astec Industries, Inc. Common Stock",ASTE,11/13/2024,11/27/2024,0.13,0.52
850,Calamos Convertible and High Income Fund Common Stock,CHY,11/13/2024,11/20/2024,0.1,1.2
851,Calamos Convertible Opportunities and Income Fund Common Stock,CHI,11/13/2024,11/20/2024,0.095,1.14
852,Calamos Dynamic Convertible & Income Fund Common Stock,CCD,11/13/2024,11/20/2024,0.195,2.34
853,Calamos Global Dynamic Income Fund Common Stock,CHW,11/13/2024,11/20/2024,0.05,0.6
854,Calamos Global Total Return Fund Common Stock,CGO,11/13/2024,11/20/2024,0.08,0.96
855,Calamos Long/Short Equity & Dynamic Income Trust Common Stock,CPZ,11/13/2024,11/20/2024,0.14,1.68
856,Calamos Strategic Total Return Common Stock,CSQ,11/13/2024,11/20/2024,0.1025,1.23
857,Cheesecake Factory Incorporated (The) Common Stock,CAKE,11/13/2024,11/26/2024,0.27,1.08
858,"Equinix, Inc. Common Stock REIT",EQIX,11/13/2024,12/11/2024,4.26,17.04
859,"Global Water Resources, Inc. Common Stock",GWRS,11/13/2024,11/27/2024,0.02508,0.30096
860,Landmark Bancorp Inc. Common Stock,LARK,11/13/2024,11/27/2024,0.21,0.84
861,PACCAR Inc. Common Stock,PCAR,11/13/2024,12/04/2024,0.3,1.2
862,Pool Corporation Common Stock,POOL,11/13/2024,11/27/2024,1.2,4.8
863,"Superior Group of Companies, Inc. Common Stock",SGC,11/13/2024,11/27/2024,0.14,0.56
864,Winmark Corporation Common Stock,WINA,11/13/2024,12/02/2024,8.4,3.6
865,"West Pharmaceutical Services, Inc. Common Stock",WST,11/13/2024,11/20/2024,0.21,0.84
866,CMS Energy Corporation Common Stock,CMS,11/13/2024,11/27/2024,0.515,2.06
867,PBF Energy Inc. Class A Common Stock,PBF,11/13/2024,11/27/2024,0.275,1.1
868,Entergy Corporation Common Stock,ETR,11/13/2024,12/02/2024,1.2,4.8
869,"Consolidated Edison, Inc. Common Stock",ED,11/13/2024,12/16/2024,0.83,3.32
870,Welltower Inc. Common Stock,WELL,11/13/2024,11/21/2024,0.67,2.68
871,Westinghouse Air Brake Technologies Corporation Common Stock,WAB,11/13/2024,11/27/2024,0.2,0.8
872,"United Rentals, Inc. Common Stock",URI,11/13/2024,11/27/2024,1.63,6.52
873,Select Medical Holdings Corporation Common Stock,SEM,11/13/2024,11/26/2024,0.125,0.5
874,"MSC Industrial Direct Company, Inc. Common Stock",MSM,11/13/2024,11/27/2024,0.85,3.4
875,ASA  Gold and Precious Metals Limited,ASA,11/13/2024,11/20/2024,0.02,0.04
876,"Sturm, Ruger & Company, Inc. Common Stock",RGR,11/13/2024,11/27/2024,0.11,0.44
877,"Hercules Capital, Inc. Common Stock",HTGC,11/13/2024,11/20/2024,0.08,1.6
878,"Hercules Capital, Inc. Common Stock",HTGC,11/13/2024,11/20/2024,0.4,1.6
879,"Home BancShares, Inc. Common Stock",HOMB,11/13/2024,12/04/2024,0.195,0.78
880,AerCap Holdings N.V. Ordinary Shares,AER,11/13/2024,12/05/2024,0.25,1.0
881,Employers Holdings Inc Common Stock,EIG,11/13/2024,11/27/2024,0.3,1.2
882,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,DSL,11/13/2024,11/29/2024,0.11,1.32
883,Sensata Technologies Holding plc Ordinary Shares,ST,11/13/2024,11/27/2024,0.12,0.48
884,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,DBL,11/13/2024,11/29/2024,0.11,1.32
885,Clipper Realty Inc. Common Stock,CLPR,11/13/2024,11/27/2024,0.095,0.38
886,DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest,DLY,11/13/2024,11/29/2024,0.1167,1.4004
887,Kenvue Inc. Common Stock,KVUE,11/13/2024,11/27/2024,0.205,0.82
888,"Concentra Group Holdings Parent, Inc. Common Stock",CON,11/13/2024,11/22/2024,0.0625,0.0625
889,FNB Inc,FIDS,11/13/2024,12/01/2024,0.9,1.8
890,KBC Groupe NV ADR,KBCSY,11/13/2024,11/29/2024,0.331255,0.6625
891,"Abacus Life, Inc. 9.875% Fixed Rate Senior Notes due 2028",ABLLL,11/14/2024,11/15/2024,0.61718,2.46872
892,"Air T, Inc. Air T Funding Alpha Income Trust Preferred Securities",AIRTP,11/14/2024,11/15/2024,0.5,2.0
893,Cognex Corporation Common Stock,CGNX,11/14/2024,11/29/2024,0.08,0.3
894,"Diamondback Energy, Inc. Common Stock",FANG,11/14/2024,11/21/2024,0.9,7.88
895,Expand Energy Corporation Common Stock,EXE,11/14/2024,12/04/2024,0.575,2.3
896,"First Mid Bancshares, Inc. Common Stock",FMBH,11/14/2024,11/29/2024,0.24,0.96
897,FTAI Aviation Ltd. Common Stock,FTAI,11/14/2024,11/25/2024,0.3,1.2
898,"Heidrick & Struggles International, Inc. Common Stock",HSII,11/14/2024,11/21/2024,0.15,0.6
899,"Hennessy Advisors, Inc. Common Stock",HNNA,11/14/2024,11/27/2024,0.1375,0.55
900,"HomeTrust Bancshares, Inc. Common Stock",HTBI,11/14/2024,11/27/2024,0.12,0.44
901,LKQ Corporation Common Stock,LKQ,11/14/2024,11/27/2024,0.3,1.2
902,LPL Financial Holdings Inc. Common Stock,LPLA,11/14/2024,12/02/2024,0.3,1.2
903,"Magyar Bancorp, Inc. Common Stock",MGYR,11/14/2024,11/27/2024,0.05,0.2
904,"Provident Financial Holdings, Inc. Common Stock",PROV,11/14/2024,12/05/2024,0.14,0.56
905,"Sandy Spring Bancorp, Inc. Common Stock",SASR,11/14/2024,11/21/2024,0.34,1.36
906,SBA Communications Corporation Class A Common Stock,SBAC,11/14/2024,12/12/2024,0.98,3.92
907,Silicon Motion Technology Corporation American Depositary Shares,SIMO,11/14/2024,11/27/2024,0.5,2.0
908,TPG Inc. Class A Common Stock,TPG,11/14/2024,12/02/2024,0.38,1.68
909,"Viper Energy, Inc. Class A Common Stock",VNOM,11/14/2024,11/21/2024,0.61,2.56
910,Zions Bancorporation N.A. Common Stock,ZION,11/14/2024,11/21/2024,0.43,1.64
911,"Bar Harbor Bankshares, Inc. Common Stock",BHB,11/14/2024,12/13/2024,0.3,1.2
912,"GAMCO Global Gold, Natural Resources & Income Trust",GGN,11/14/2024,11/21/2024,0.03,0.36
913,Gabelli Global Utility Common Shares of Beneficial Ownership,GLU,11/14/2024,11/21/2024,0.1,1.2
914,Materion Corporation,MTRN,11/14/2024,12/06/2024,0.135,0.54
915,"Crown Holdings, Inc.",CCK,11/14/2024,11/27/2024,0.25,1.0
916,Exxon Mobil Corporation Common Stock,XOM,11/14/2024,12/10/2024,0.99,3.96
917,Olin Corporation Common Stock,OLN,11/14/2024,12/13/2024,0.2,0.8
918,"WEC Energy Group, Inc. Common Stock",WEC,11/14/2024,12/01/2024,0.835,3.34
919,"Source Capital, Inc. Common Stock",SOR,11/14/2024,11/29/2024,0.2083,2.4996
920,UNITIL Corporation Common Stock,UTL,11/14/2024,11/29/2024,0.425,1.7
921,KB Home Common Stock,KBH,11/14/2024,11/27/2024,0.25,1.0
922,"TJX Companies, Inc. (The) Common Stock",TJX,11/14/2024,12/05/2024,0.375,1.5
923,Coterra Energy Inc. Common Stock,CTRA,11/14/2024,11/27/2024,0.21,0.84
924,Capital One Financial Corporation Common Stock,COF,11/14/2024,11/22/2024,0.6,2.4
925,Invesco Ltd Common Stock,IVZ,11/14/2024,12/03/2024,0.205,0.82
926,"Comfort Systems USA, Inc. Common Stock",FIX,11/14/2024,11/25/2024,0.35,1.4
927,"Fresh Del Monte Produce, Inc. Common Stock",FDP,11/14/2024,12/06/2024,0.25,1.0
928,"Affiliated Managers Group, Inc. Common Stock",AMG,11/14/2024,11/29/2024,0.01,0.04
929,Gabelli Utility Trust (The) Common Stock,GUT,11/14/2024,11/21/2024,0.05,0.6
930,"Berkshire Hills Bancorp, Inc. Common Stock",BHLB,11/14/2024,11/27/2024,0.18,0.72
931,Gabelli Dividend & Income Trust Common Shares of Beneficial Interest,GDV,11/14/2024,11/21/2024,0.11,1.32
932,"SunCoke Energy, Inc. Common Stock",SXC,11/14/2024,12/02/2024,0.12,0.48
933,"GAMCO Natural Resources, Gold & Income Trust",GNT,11/14/2024,11/21/2024,0.04,0.48
934,"PGIM High Yield Bond Fund, Inc.",ISD,11/14/2024,11/29/2024,0.105,1.26
935,"PGIM Global High Yield Fund, Inc.",GHY,11/14/2024,11/29/2024,0.105,1.26
936,Permian Resources Corporation Class A Common Stock,PR,11/14/2024,11/22/2024,0.15,0.6
937,Peabody Energy Corporation Common Stock ,BTU,11/14/2024,12/04/2024,0.075,0.3
938,Ingersoll Rand Inc. Common Stock,IR,11/14/2024,12/05/2024,0.02,0.08
939,Amerant Bancorp Inc. Class A Common Stock,AMTB,11/14/2024,11/29/2024,0.09,0.36
940,PGIM Short Duration High Yield Opportunities Fund Common Shares,SDHY,11/14/2024,11/29/2024,0.108,1.296
941,Brookdale Senior Living Inc. 7.00% Tangible Equity Units,BKDT,11/14/2024,11/15/2024,0.875,3.2664
942,Wisconsin Electric Power Co 3.60% PRF PERPETUAL USD 100,WELPP,11/14/2024,12/01/2024,0.9,3.6
943,Infinity Bancorp,INFT,11/14/2024,11/29/2024,0.07,0.28
944,F & M Bank Corp.,FMBM,11/14/2024,11/29/2024,0.26,1.04
945,Xtrackers (IE) Public Limited Company Xtrackers USD High YieldCorporate Bond UCITS ETF,XTTXF,11/14/2024,11/29/2024,0.1981,0.1981
946,Brookdale Senior Living Inc Units (Tangible Equity Units 15/11/2025),BKDTU,11/14/2024,11/15/2024,0.875,3.5
947,Artesian Resources Corporation Class A Common Stock,ARTNA,11/15/2024,11/25/2024,0.3014,1.182
948,BankFinancial Corporation Common Stock,BFIN,11/15/2024,11/29/2024,0.1,0.4
949,"Bassett Furniture Industries, Incorporated Common Stock",BSET,11/15/2024,11/29/2024,0.2,0.8
950,Berry Corporation (bry) Common Stock,BRY,11/15/2024,11/25/2024,0.03,0.68
951,BOK Financial Corporation Common Stock,BOKF,11/15/2024,11/27/2024,0.57,2.2
952,"Bridgewater Bancshares, Inc. Depositary Shares, Each Representing a 1/100th Interest in a Share of 5.875% Non-Cumulative Perpetual Preferred Stock, Series A",BWBBP,11/15/2024,12/02/2024,0.3672,1.4688
953,"Brookline Bancorp, Inc. Common Stock",BRKL,11/15/2024,11/29/2024,0.135,0.54
954,Burke & Herbert Financial Services Corp. Common Stock,BHRB,11/15/2024,12/02/2024,0.55,2.12
955,"Business First Bancshares, Inc. Common Stock",BFST,11/15/2024,11/30/2024,0.14,0.56
956,"Carlyle Secured Lending, Inc. 8.20% Notes due 2028",CGBDL,11/15/2024,12/02/2024,0.5125,2.05
957,"CB Financial Services, Inc. Common Stock",CBFV,11/15/2024,11/29/2024,0.25,1.0
958,Cintas Corporation Common Stock,CTAS,11/15/2024,12/13/2024,0.39,1.56
959,"CNB Financial Corporation Depositary Shares, each representing a 1/40th ownership interest in a share of 7.125% Series A Fixed-Rate Non-Cumulative Perpetual Preferred Stock",CCNEP,11/15/2024,11/29/2024,0.4453125,1.78125
960,Coca-Cola Europacific Partners plc Ordinary Shares,CCEP,11/15/2024,12/03/2024,1.34,1.58
961,"ConnectOne Bancorp, Inc. Common Stock",CNOB,11/15/2024,12/02/2024,0.18,0.72
962,"ConnectOne Bancorp, Inc. Depositary Shares, each representing a 1/40th interest in a share of 5.25% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series A",CNOBP,11/15/2024,12/02/2024,0.328125,1.3125
963,Constellation Energy Corporation Common Stock ,CEG,11/15/2024,12/06/2024,0.3525,1.41
964,Diversified Healthcare Trust 6.25% Senior Notes Due 2046,DHCNL,11/15/2024,12/01/2024,0.390625,1.5625
965,"Eagle Bancorp Montana, Inc. Common Stock",EBMT,11/15/2024,12/06/2024,0.1425,0.57
966,Eastern Company (The) Common Stock,EML,11/15/2024,12/13/2024,0.11,0.44
967,Enstar Group Limited Depositary Shares Each Representing 1/1000th of an interest in Preference Shares,ESGRP,11/15/2024,12/01/2024,0.4375,1.75
968,"Enstar Group Limited Depository Shares 7.00% Perpetual Non-Cumulative Preference Shares, Series E",ESGRO,11/15/2024,12/01/2024,0.4375,1.75
969,"Esquire Financial Holdings, Inc. Common Stock",ESQ,11/15/2024,12/02/2024,0.15,0.6
970,FAT Brands Inc. Class A Common Stock,FAT,11/15/2024,11/29/2024,0.14,0.56
971,FAT Brands Inc. Class B Common Stock,FATBB,11/15/2024,11/29/2024,0.14,0.56
972,"Fidelity D & D Bancorp, Inc. Common Stock",FDBC,11/15/2024,12/10/2024,0.4,1.52
973,"First Guaranty Bancshares, Inc. 6.75% Series A Fixed-Rate Non-Cumulative Perpetual Preferred Stock",FGBIP,11/15/2024,12/02/2024,0.421875,1.6875
974,First Internet Bancorp 6.0% Fixed-to-Floating Rate Subordinated Notes Due 2029,INBKZ,11/15/2024,12/30/2024,0.5675,2.4268
975,"FirstCash Holdings, Inc. Common Stock",FCFS,11/15/2024,11/27/2024,0.38,1.52
976,"Fossil Group, Inc. 7% Senior Notes due 2026",FOSLL,11/15/2024,11/30/2024,0.4375,1.75
977,Gladstone Capital Corporation 7.75% Notes due 2028,GLADZ,11/15/2024,12/02/2024,0.484375,1.9375
978,"Greene County Bancorp, Inc. Common Stock",GCBC,11/15/2024,11/29/2024,0.09,0.36
979,"Hawkins, Inc. Common Stock",HWKN,11/15/2024,11/29/2024,0.18,0.72
980,Honeywell International Inc. Common Stock,HON,11/15/2024,12/06/2024,1.13,4.32
981,Horizon Technology Finance Corporation Common Stock,HRZN,11/15/2024,12/13/2024,0.11,1.32
982,Huntington Bancshares Incorporated Depositary Shares each representing a 1/1000th interest in a share of Huntington Series I Preferred Stock,HBANM,11/15/2024,12/02/2024,0.35625,1.425
983,iRadimed Corporation Common Stock,IRMD,11/15/2024,11/25/2024,0.15,0.6
984,"Lakeland Industries, Inc. Common Stock",LAKE,11/15/2024,11/22/2024,0.03,0.12
985,"Logility Supply Chain Solutions, Inc. Common Stock",LGTY,11/15/2024,11/29/2024,0.11,0.44
986,LuxUrban Hotels Inc. 13.00% Series A Cumulative Redeemable Preferred Stock,LUXHP,11/15/2024,11/29/2024,0.2708333,3.25
987,Medallion Financial Corp. Common Stock,MFIN,11/15/2024,11/27/2024,0.11,0.4
988,"MGP Ingredients, Inc.",MGPI,11/15/2024,11/29/2024,0.12,0.48
989,Middlesex Water Company Common Stock,MSEX,11/15/2024,12/02/2024,0.34,1.3
990,"NewtekOne, Inc. 8.00% Fixed Rate Senior Notes due 2028",NEWTI,11/15/2024,12/02/2024,0.5,2.0
991,"Nexstar Media Group, Inc. Common Stock",NXST,11/15/2024,11/29/2024,1.69,6.76
992,Office Properties Income Trust 6.375% Senior Notes due 2050,OPINL,11/15/2024,12/01/2024,0.3984375,1.59375
993,Otter Tail Corporation Common Stock,OTTR,11/15/2024,12/10/2024,0.4675,1.87
994,Oxford Lane Capital Corp. 6.25% Series 2027 Term Preferred Shares,OXLCP,11/15/2024,11/29/2024,0.13020833,1.5625
995,Oxford Lane Capital Corp. 7.125% Series 2029 Term Preferred Stock,OXLCN,11/15/2024,11/29/2024,0.1484375,1.78125
996,Oxford Lane Capital Corp. Common Stock,OXLC,11/15/2024,11/29/2024,0.09,1.08
997,"Oxford Lane Capital Corp. Preferred Stock Shares, 6.00% Series 2029",OXLCO,11/15/2024,11/29/2024,0.125,1.5
998,Oxford Square Capital Corp. Common Stock,OXSQ,11/15/2024,11/29/2024,0.035,0.42
999,Park-Ohio Holdings Corp. Common Stock,PKOH,11/15/2024,11/29/2024,0.125,0.5
1000,"Phillips Edison & Company, Inc. Common Stock",PECO,11/15/2024,12/03/2024,0.1025,1.23
1001,"Pinnacle Financial Partners, Inc. Depositary shares of Pinnacle Financial Partners, Inc., each representing a 1/40th Interest in a share of its 6.75% Fixed-Rate Non-Cumulative Perpetual Preferred Stock, Series B",PNFPP,11/15/2024,12/01/2024,0.422,1.688
1002,"Popular, Inc. Popular Capital Trust II - 6.125% Cumulative Monthly Income Trust Preferred Securities",BPOPM,11/15/2024,12/02/2024,0.127604,1.531248
1003,"Resources Connection, Inc. Common Stock",RGP,11/15/2024,12/16/2024,0.14,0.56
1004,Reynolds Consumer Products Inc. Common Stock,REYN,11/15/2024,11/29/2024,0.23,0.92
1005,Royalty Pharma plc Class A Ordinary Shares ,RPRX,11/15/2024,12/10/2024,0.21,0.84
1006,Runway Growth Finance Corp. 7.50% Notes due 2027,RWAYL,11/15/2024,12/01/2024,0.46875,1.875
1007,Runway Growth Finance Corp. 8.00% Notes due 2027,RWAYZ,11/15/2024,12/01/2024,0.5,2.0
1008,"Sabra Health Care REIT, Inc. Common Stock",SBRA,11/15/2024,11/29/2024,0.3,1.2
1009,"Selective Insurance Group, Inc. Common Stock",SIGI,11/15/2024,12/02/2024,0.38,1.4
1010,"Southern Missouri Bancorp, Inc. Common Stock",SMBC,11/15/2024,11/29/2024,0.23,0.92
1011,Starbucks Corporation Common Stock,SBUX,11/15/2024,11/29/2024,0.61,2.28
1012,Taitron Components Incorporated Class A Common Stock,TAIT,11/15/2024,11/27/2024,0.05,0.2
1013,"The Shyft Group, Inc. Common Stock",SHYF,11/15/2024,12/16/2024,0.05,0.2
1014,"Timberland Bancorp, Inc. Common Stock",TSBK,11/15/2024,11/29/2024,0.25,0.96
1015,"USCB Financial Holdings, Inc. Class A Common Stock",USCB,11/15/2024,12/05/2024,0.05,0.2
1016,Wingstop Inc. Common Stock,WING,11/15/2024,12/06/2024,0.27,1.08
1017,"Wynn Resorts, Limited Common stock",WYNN,11/15/2024,11/27/2024,0.25,1.0
1018,"Cryo-Cell International, Inc. Common Stock",CCEL,11/15/2024,11/29/2024,0.25,1.0
1019,Park National Corporation Common Stock,PRK,11/15/2024,12/10/2024,0.5,4.24
1020,Park National Corporation Common Stock,PRK,11/15/2024,12/10/2024,1.06,4.24
1021,Central Securities Corporation Common Stock,CET,11/15/2024,12/20/2024,2.05,4.1
1022,"Neuberger Berman Real Estate Securities Income Fund, Inc.",NRO,11/15/2024,11/29/2024,0.0312,0.3744
1023,"Cornerstone Strategic Value Fund, Inc. New Common Stock",CLM,11/15/2024,11/29/2024,0.1086,1.3032
1024,"Cornerstone Total Return Fund, Inc. (The) Common Stock",CRF,11/15/2024,11/29/2024,0.1037,1.2444
1025,BNY Mellon Municipal Income Inc. Common Stock,DMF,11/15/2024,12/02/2024,0.019,0.228
1026,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),VKI,11/15/2024,11/29/2024,0.0559,0.6708
1027,Neuberger Berman High Yield Strategies Fund,NHS,11/15/2024,11/29/2024,0.0905,1.086
1028,Reaves Utility Income Fund Common Shares of Beneficial Interest,UTG,11/15/2024,11/29/2024,0.19,2.28
1029,Clough Global Dividend and Income Fund Common Shares of beneficial interest,GLV,11/15/2024,11/29/2024,0.0526,0.6312
1030,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,GLQ,11/15/2024,11/29/2024,0.0603,0.7236
1031,Clough Global Opportunities Fund Common Stock,GLO,11/15/2024,11/29/2024,0.048,0.576
1032,"Pioneer Diversified High Income Fund, Inc.",HNW,11/15/2024,11/29/2024,0.0975,1.17
1033,Neuberger Berman Energy Infrastructure and Income Fund Inc. Common Stock,NML,11/15/2024,11/29/2024,0.0584,0.7008
1034,"U.S. Physical Therapy, Inc. Common Stock",USPH,11/15/2024,12/06/2024,0.44,1.76
1035,3M Company Common Stock,MMM,11/15/2024,12/12/2024,0.7,2.8
1036,International Paper Company Common Stock,IP,11/15/2024,12/16/2024,0.4625,1.85
1037,RTX Corporation Common Stock,RTX,11/15/2024,12/12/2024,0.63,2.52
1038,Sherwin-Williams Company (The) Common Stock,SHW,11/15/2024,12/06/2024,0.715,2.86
1039,Whirlpool Corporation Common Stock,WHR,11/15/2024,12/15/2024,1.75,7.0
1040,The J.M. Smucker Company Common Stock,SJM,11/15/2024,12/02/2024,1.08,4.32
1041,"Standard Motor Products, Inc. Common Stock",SMP,11/15/2024,12/02/2024,0.29,1.16
1042,Corning Incorporated Common Stock,GLW,11/15/2024,12/13/2024,0.28,1.12
1043,Jabil Inc. Common Stock,JBL,11/15/2024,12/03/2024,0.08,0.32
1044,Kroger Company (The) Common Stock,KR,11/15/2024,12/01/2024,0.32,1.28
1045,"Southwest Gas Holdings, Inc. Common Stock (DE)",SWX,11/15/2024,12/02/2024,0.62,2.48
1046,Eli Lilly and Company Common Stock,LLY,11/15/2024,12/10/2024,1.3,5.2
1047,Carlisle Companies Incorporated Common Stock,CSL,11/15/2024,12/02/2024,1.0,4.0
1048,"Enzo Biochem, Inc. Common Stock ($0.01 Par Value)",ENZ,11/15/2024,12/02/2024,0.1,0.4
1049,"Applied Industrial Technologies, Inc. Common Stock",AIT,11/15/2024,11/29/2024,0.37,1.48
1050,Duke Energy Corporation (Holding Company) Common Stock,DUK,11/15/2024,12/16/2024,1.045,4.18
1051,"Allete, Inc.",ALE,11/15/2024,12/01/2024,0.705,2.82
1052,"Church & Dwight Company, Inc. Common Stock",CHD,11/15/2024,12/02/2024,0.28375,1.135
1053,"American Financial Group, Inc. Common Stock",AFG,11/15/2024,11/26/2024,4.0,3.2
1054,Oshkosh Corporation (Holding Company)Common Stock,OSK,11/15/2024,11/29/2024,0.46,1.84
1055,Teleflex Incorporated Common Stock,TFX,11/15/2024,12/16/2024,0.34,1.36
1056,"Magna International, Inc. Common Stock",MGA,11/15/2024,11/29/2024,0.475,1.9
1057,"Maximus, Inc. Common Stock",MMS,11/15/2024,11/30/2024,0.3,1.2
1058,Emerson Electric Company Common Stock,EMR,11/15/2024,12/10/2024,0.5275,2.11
1059,Marathon Oil Corporation Common Stock,MRO,11/15/2024,12/10/2024,0.11,0.44
1060,Federal Signal Corporation Common Stock,FSS,11/15/2024,12/02/2024,0.12,0.48
1061,"Penske Automotive Group, Inc. Common Stock",PAG,11/15/2024,12/03/2024,1.19,4.76
1062,"UMH Properties, Inc. Common Stock",UMH,11/15/2024,12/16/2024,0.215,0.86
1063,Blackrock Core Bond Trust,BHK,11/15/2024,11/29/2024,0.0746,0.8952
1064,Lindsay Corporation Common Stock,LNN,11/15/2024,11/29/2024,0.36,1.44
1065,Gorman-Rupp Company (The) Common Stock,GRC,11/15/2024,12/10/2024,0.185,0.74
